timestamp;lightintensity;tvoc;noise;humidity;temperature;occupancy;co2-ndir;pm2.5;pm10;peoplecount;deviceID;EpochTime/UnixTime ( UTC )
11-2-2021 00:00:17;;479;;;;;;;;;MS-IPac67b205b3b7;1612998017.335
11-2-2021 00:00:18;;;;;10,51;;;;;;MS-IPac67b205b3b7;1612998018.637
11-2-2021 00:00:40;;469;;;;;;;;;MS-IPac67b205b3b7;1612998040.185
11-2-2021 00:00:42;;;41,516;;;;;;;;MS-IPac67b205b3b7;1612998042.712
11-2-2021 00:01:02;;479;;;;;;;;;MS-IPac67b205b3b7;1612998062.965
11-2-2021 00:01:24;;;;;;;;;;0;MS-IPac67b205b3b7;1612998084.444
11-2-2021 00:01:28;;;41,61;;;;;;;;MS-IPac67b205b3b7;1612998088.26
11-2-2021 00:01:48;;485;;;;;;;;;MS-IPac67b205b3b7;1612998108.519
11-2-2021 00:01:49;;;;;10,61;;;;;;MS-IPac67b205b3b7;1612998109.837
11-2-2021 00:02:12;;;;;10,51;;;;;;MS-IPac67b205b3b7;1612998132.606
11-2-2021 00:02:35;;;;;10,61;;;;;;MS-IPac67b205b3b7;1612998155.414
11-2-2021 00:02:55;;;42,031;;;;;;;;MS-IPac67b205b3b7;1612998175.199
11-2-2021 00:02:57;;511;;;;;;;;;MS-IPac67b205b3b7;1612998177.544
11-2-2021 00:03:19;;;;;;;;;;0;MS-IPac67b205b3b7;1612998199.045
11-2-2021 00:03:20;;521;;;;;;;;;MS-IPac67b205b3b7;1612998200.343
11-2-2021 00:03:21;;;;;10,51;;;;;;MS-IPac67b205b3b7;1612998201.666
11-2-2021 00:03:45;;;42,114;;;;;;;;MS-IPac67b205b3b7;1612998225.729
11-2-2021 00:04:06;;527;;;;;;;;;MS-IPac67b205b3b7;1612998246.003
11-2-2021 00:04:28;;547;;;;;;;;;MS-IPac67b205b3b7;1612998268.793
11-2-2021 00:04:30;;;;;10,65;;;;;;MS-IPac67b205b3b7;1612998270.105
11-2-2021 00:04:31;;;42,149;;;;;;;;MS-IPac67b205b3b7;1612998271.319
11-2-2021 00:04:51;;555;;;;;;;;;MS-IPac67b205b3b7;1612998291.573
11-2-2021 00:05:14;;564;;;;;;;;;MS-IPac67b205b3b7;1612998314.353
11-2-2021 00:05:16;;;41,965;;;;;;;;MS-IPac67b205b3b7;1612998316.889
11-2-2021 00:05:35;;;;;;;;;;0;MS-IPac67b205b3b7;1612998335.833
11-2-2021 00:05:37;;576;;;;;;;;;MS-IPac67b205b3b7;1612998337.143
11-2-2021 00:05:38;;;;;10,75;;;;;;MS-IPac67b205b3b7;1612998338.495
11-2-2021 00:05:59;;594;;;;;;;;;MS-IPac67b205b3b7;1612998359.933
11-2-2021 00:06:01;;;;;10,65;;;;;;MS-IPac67b205b3b7;1612998361.245
11-2-2021 00:06:02;;;41,394;;;;;;;;MS-IPac67b205b3b7;1612998362.458
11-2-2021 00:06:45;;601;;;;;;;;;MS-IPac67b205b3b7;1612998405.502
11-2-2021 00:06:48;;;40,867;;;;;;;;MS-IPac67b205b3b7;1612998408.018
11-2-2021 00:06:57;;;;;;0;;;;;MS-IPac67b205b3b7;1612998417.612
11-2-2021 00:07:05;;;;;;;436;;;;MS-IPac67b205b3b7;1612998425.915
11-2-2021 00:07:07;0;;;;;;;;;;MS-IPac67b205b3b7;1612998427.173
11-2-2021 00:07:08;;;;25,925;;;;;;;MS-IPac67b205b3b7;1612998428.194
11-2-2021 00:07:08;;614;;;;;;;;;MS-IPac67b205b3b7;1612998428.292
11-2-2021 00:07:09;;;;;10,89;;;;;;MS-IPac67b205b3b7;1612998429.604
11-2-2021 00:07:29;;;;;;;;;;0;MS-IPac67b205b3b7;1612998449.822
11-2-2021 00:07:32;;;;;10,69;;;;;;MS-IPac67b205b3b7;1612998452.464
11-2-2021 00:07:53;;633;;;;;;;;;MS-IPac67b205b3b7;1612998473.902
11-2-2021 00:07:55;;;;;;;;30;;;MS-IPac67b205b3b7;1612998475.839
11-2-2021 00:07:55;;;;;;;;;31;;MS-IPac67b205b3b7;1612998475.869
11-2-2021 00:08:14;;;41,219;;;;;;;;MS-IPac67b205b3b7;1612998494.735
11-2-2021 00:08:17;;647;;;;;;;;;MS-IPac67b205b3b7;1612998497.072
11-2-2021 00:08:18;;;;;10,57;;;;;;MS-IPac67b205b3b7;1612998498.394
11-2-2021 00:09:00;;;40,951;;;;;;;;MS-IPac67b205b3b7;1612998540.385
11-2-2021 00:09:02;;672;;;;;;;;;MS-IPac67b205b3b7;1612998542.652
11-2-2021 00:09:24;;;;;;;;;;0;MS-IPac67b205b3b7;1612998564.142
11-2-2021 00:09:25;;680;;;;;;;;;MS-IPac67b205b3b7;1612998565.441
11-2-2021 00:09:26;;;;;10,69;;;;;;MS-IPac67b205b3b7;1612998566.753
11-2-2021 00:09:48;;692;;;;;;;;;MS-IPac67b205b3b7;1612998588.212
11-2-2021 00:09:49;;;41,876;;;;;;;;MS-IPac67b205b3b7;1612998589.634
11-2-2021 00:10:10;;680;;;;;;;;;MS-IPac67b205b3b7;1612998610.991
11-2-2021 00:10:36;;;42,013;;;;;;;;MS-IPac67b205b3b7;1612998636.307
11-2-2021 00:10:56;;692;;;;;;;;;MS-IPac67b205b3b7;1612998656.561
11-2-2021 00:10:57;;;;;10,83;;;;;;MS-IPac67b205b3b7;1612998657.873
11-2-2021 00:11:16;;;;;;;420;;;;MS-IPac67b205b3b7;1612998676.984
11-2-2021 00:11:18;;;;;;;;;;0;MS-IPac67b205b3b7;1612998678.053
11-2-2021 00:11:19;;705;;;;;;;;;MS-IPac67b205b3b7;1612998679.351
11-2-2021 00:11:20;;;;;10,61;;;;;;MS-IPac67b205b3b7;1612998680.653
11-2-2021 00:11:21;;;43,59;;;;;;;;MS-IPac67b205b3b7;1612998681.866
11-2-2021 00:11:42;;692;;;;;;;;;MS-IPac67b205b3b7;1612998702.301
11-2-2021 00:12:07;;;42,648;;;;;;;;MS-IPac67b205b3b7;1612998727.616
11-2-2021 00:12:27;;716;;;;;;;;;MS-IPac67b205b3b7;1612998747.86
11-2-2021 00:12:29;;;;;10,51;;;;;;MS-IPac67b205b3b7;1612998749.193
11-2-2021 00:12:50;;692;;;;;;;;;MS-IPac67b205b3b7;1612998770.641
11-2-2021 00:13:13;;705;;;;;;;;;MS-IPac67b205b3b7;1612998793.43
11-2-2021 00:13:14;;;;;10,65;;;;;;MS-IPac67b205b3b7;1612998794.761
11-2-2021 00:13:14;;;;;;;;;29;;MS-IPac67b205b3b7;1612998794.817
11-2-2021 00:13:15;;;42,186;;;;;;;;MS-IPac67b205b3b7;1612998795.972
11-2-2021 00:13:34;;;;;;;;;;0;MS-IPac67b205b3b7;1612998814.953
11-2-2021 00:13:36;;716;;;;;;;;;MS-IPac67b205b3b7;1612998816.25
11-2-2021 00:14:00;;;;;10,47;;;;;;MS-IPac67b205b3b7;1612998840.352
11-2-2021 00:14:00;;727;;;;;;;;;MS-IPac67b205b3b7;1612998840.549
11-2-2021 00:14:01;;;41,932;;;;;;;;MS-IPac67b205b3b7;1612998841.565
11-2-2021 00:14:23;;;;;10,71;;;;;;MS-IPac67b205b3b7;1612998863.002
11-2-2021 00:14:23;;716;;;;;;;;;MS-IPac67b205b3b7;1612998863.1
11-2-2021 00:14:45;;727;;;;;;;;;MS-IPac67b205b3b7;1612998885.9
11-2-2021 00:15:05;;;43,142;;;;;;;;MS-IPac67b205b3b7;1612998905.093
11-2-2021 00:15:08;;753;;;;;;;;;MS-IPac67b205b3b7;1612998908.67
11-2-2021 00:15:27;;;;;;;440;;;;MS-IPac67b205b3b7;1612998927.793
11-2-2021 00:15:28;;;;;;;;;;0;MS-IPac67b205b3b7;1612998928.862
11-2-2021 00:15:31;;736;;;;;;;;;MS-IPac67b205b3b7;1612998931.509
11-2-2021 00:15:50;;;42,22;;;;;;;;MS-IPac67b205b3b7;1612998950.722
11-2-2021 00:15:54;;753;;;;;;;;;MS-IPac67b205b3b7;1612998954.299
11-2-2021 00:16:17;;736;;;;;;;;;MS-IPac67b205b3b7;1612998977.079
11-2-2021 00:16:36;;;;;;;424;;;;MS-IPac67b205b3b7;1612998996.203
11-2-2021 00:16:36;;;41,267;;;;;;;;MS-IPac67b205b3b7;1612998996.325
