timestamp;lightintensity;tvoc;noise;humidity;temperature;occupancy;co2-ndir;pm2.5;pm10;peoplecount;deviceID;EpochTime/UnixTime ( UTC )
11-2-2021 00:00:02;;;;;10,55;;;;;;MS-IPac67b205b3df;1612998002.088
11-2-2021 00:00:26;;;40,921;;;;;;;;MS-IPac67b205b3df;1612998026.997
11-2-2021 00:01:09;;;40,81;;;;;;;;MS-IPac67b205b3df;1612998069.826
11-2-2021 00:01:10;;;;;;;;;;0;MS-IPac67b205b3df;1612998070.012
11-2-2021 00:01:35;;;41,972;;;;;;;;MS-IPac67b205b3df;1612998095.536
11-2-2021 00:02:18;;;42,599;;;;;;;;MS-IPac67b205b3df;1612998138.35
11-2-2021 00:03:04;;;;;;;;;;0;MS-IPac67b205b3df;1612998184.211
11-2-2021 00:03:04;;8;;;;;;;;;MS-IPac67b205b3df;1612998184.524
11-2-2021 00:03:04;;;;;10,43;;;;;;MS-IPac67b205b3df;1612998184.854
11-2-2021 00:03:05;;;43,032;;;;;;;;MS-IPac67b205b3df;1612998185.489
11-2-2021 00:03:27;;;;;10,61;;;;;;MS-IPac67b205b3df;1612998207.686
11-2-2021 00:03:30;;;41,911;;;;;;;;MS-IPac67b205b3df;1612998210.859
11-2-2021 00:03:41;;;;;;;;29;;;MS-IPac67b205b3df;1612998221.419
11-2-2021 00:03:41;;;;;;;;;32;;MS-IPac67b205b3df;1612998221.455
11-2-2021 00:03:48;;;;;;;454;;;;MS-IPac67b205b3df;1612998228.825
11-2-2021 00:03:49;;7;;;;;;;;;MS-IPac67b205b3df;1612998229.164
11-2-2021 00:03:49;;;;;10,61;;;;;;MS-IPac67b205b3df;1612998229.215
11-2-2021 00:03:49;;;41,911;;;;;;;;MS-IPac67b205b3df;1612998229.265
11-2-2021 00:03:49;0;;;;;;;;;;MS-IPac67b205b3df;1612998229.314
11-2-2021 00:03:49;;;;;;0;;;;;MS-IPac67b205b3df;1612998229.363
11-2-2021 00:03:50;;5;;;;;;;;;MS-IPac67b205b3df;1612998230.233
11-2-2021 00:04:13;;;42,813;;;;;;;;MS-IPac67b205b3df;1612998253.774
11-2-2021 00:04:34;;;;;;;462;;;;MS-IPac67b205b3df;1612998274.569
11-2-2021 00:04:39;;;43,292;;;;;;;;MS-IPac67b205b3df;1612998279.399
