time,peoplecount_rgb,co2
2021-02-11 01:04:15.644,0,438.0
2021-02-11 01:06:15.321,0,434.0
2021-02-11 01:07:16.369,0,454.0
2021-02-11 01:07:30.000,0,454.0
2021-02-11 01:09:15.836,0,435.0
2021-02-11 01:09:24.000,0,453.0
2021-02-11 01:10:17.030,0,453.0
2021-02-11 01:19:16.552,0,457.0
2021-02-11 01:19:21.000,0,457.0
2021-02-11 01:34:14.796,0,458.0
2021-02-11 01:47:16.282,0,430.0
2021-02-11 01:47:25.000,0,430.0
2021-02-11 01:48:17.369,0,451.0
2021-02-11 01:49:15.657,0,441.0
2021-02-11 01:49:19.000,0,441.0
2021-02-11 01:59:16.328,0,433.0
2021-02-11 01:59:34.000,0,452.0
2021-02-11 02:01:15.288,0,433.0
2021-02-11 02:01:28.000,0,433.0
2021-02-11 02:03:15.281,0,450.0
2021-02-11 02:03:22.000,0,450.0
2021-02-11 02:04:16.462,0,440.0
2021-02-11 02:13:16.147,0,433.0
2021-02-11 02:13:19.000,0,457.0
2021-02-11 02:17:15.234,0,441.0
2021-02-11 02:19:14.669,0,451.0
2021-02-11 02:19:21.000,0,451.0
2021-02-11 02:20:16.565,0,458.0
2021-02-11 02:20:33.755,0,458.0
2021-02-11 02:21:17.110,0,438.0
2021-02-11 02:21:19.000,0,438.0
2021-02-11 02:23:16.739,0,435.0
2021-02-11 02:23:31.000,0,435.0
2021-02-11 02:25:16.243,0,458.0
2021-02-11 02:25:25.000,0,458.0
2021-02-11 02:34:15.781,0,454.0
2021-02-11 02:45:14.855,0,460.0
2021-02-11 02:45:34.000,0,460.0
2021-02-11 02:49:16.644,0,453.0
2021-02-11 02:49:22.000,0,453.0
2021-02-11 02:54:16.879,0,441.0
2021-02-11 02:55:15.281,0,461.0
2021-02-11 02:55:27.000,0,461.0
2021-02-11 02:57:14.880,0,445.0
2021-02-11 02:57:21.000,0,445.0
2021-02-11 03:04:15.140,0,457.0
2021-02-11 03:05:16.107,0,461.0
2021-02-11 03:05:20.000,0,461.0
2021-02-11 03:05:33.210,0,461.0
2021-02-11 03:07:15.581,0,439.0
2021-02-11 03:07:18.000,0,439.0
2021-02-11 03:09:14.932,0,461.0
2021-02-11 03:10:16.469,0,443.0
2021-02-11 03:11:14.517,0,462.0
